#     'r'     'cord11(r)'     'cord12(r)'     'cord22(r)'     cord21(r)
    1.9145     0.9478237    0.4812921      0.494053    0.9625843
    1.9241     0.9545433    0.4847136     0.4974609    0.9694272
    1.9337      0.961662    0.4882381     0.5011847    0.9764762
    1.9433     0.9692015    0.4919499     0.5049617    0.9838998
    1.9529      0.977196    0.4960019     0.5089962    0.9920038
    1.9625     0.9854388    0.5003116     0.5134244     1.000623
    1.9721     0.9940421     0.504835     0.5179649      1.00967
    1.9817      1.003282    0.5095511     0.5227391     1.019102
    1.9913      1.013131    0.5145514     0.5277943     1.029103
    2.0009        1.0231    0.5197678     0.5329127     1.039536
    2.0105      1.033139     0.524999     0.5378843     1.049998
    2.0201      1.043087    0.5302875      0.542959     1.060575
    2.0297      1.052992     0.535627     0.5481962     1.071254
    2.0393      1.062968    0.5408789     0.5533104     1.081758
    2.0488      1.073033    0.5460409      0.558403     1.092082
    2.0584      1.083238    0.5512888     0.5635479     1.102578
     2.068      1.093604    0.5567285     0.5686824     1.113457
    2.0776      1.104041    0.5621487     0.5740221     1.124297
    2.0872      1.114328    0.5675206     0.5795697     1.135041
    2.0968      1.124679    0.5728937     0.5851445     1.145787
    2.1064       1.13534    0.5782503     0.5906012     1.156501
     2.116      1.146299    0.5836394     0.5957664     1.167279
    2.1256      1.157285    0.5891519     0.6010421     1.178304
    2.1352      1.168227    0.5948311     0.6064172     1.189662
    2.1448      1.179062      0.60035     0.6118643       1.2007
    2.1544       1.19011    0.6057291     0.6174733     1.211458
     2.164      1.201141    0.6112777     0.6231585     1.222555
    2.1736      1.212077    0.6170319     0.6288374     1.234064
    2.1832      1.223272     0.622908     0.6344803     1.245816
    2.1928      1.234359    0.6286803     0.6403329     1.257361
    2.2024      1.245557    0.6345611     0.6461201     1.269122
     2.212      1.257222    0.6405771     0.6519752     1.281154
    2.2216      1.268922    0.6465502     0.6579858       1.2931
    2.2312       1.28041    0.6525375     0.6639882     1.305075
    2.2408      1.291919    0.6585198     0.6701552      1.31704
    2.2504       1.30357    0.6646279     0.6766538     1.329256
      2.26      1.315561    0.6708357     0.6831684     1.341671
    2.2696      1.327702    0.6771081     0.6891924     1.354216
    2.2792      1.339887    0.6833971     0.6954478     1.366794
    2.2888      1.352199     0.689826     0.7020068     1.379652
    2.2984       1.36429    0.6963581     0.7086374     1.392716
     2.308      1.376429     0.702655     0.7155209      1.40531
    2.3176      1.388998    0.7089083      0.722446     1.417817
    2.3271      1.401649    0.7153386     0.7291933     1.430677
    2.3367      1.414656    0.7218632     0.7359282     1.443726
    2.3463      1.427617    0.7284464     0.7428598     1.456893
    2.3559      1.440224    0.7351428     0.7496098     1.470286
    2.3655      1.453034     0.741953     0.7564697     1.483906
    2.3751        1.4661    0.7487998     0.7634328       1.4976
    2.3847      1.479283    0.7557467     0.7703628     1.511493
    2.3943      1.492523    0.7626583     0.7774612     1.525317
    2.4039      1.506329    0.7696316     0.7846152     1.539263
    2.4135      1.520445    0.7767681     0.7917345     1.553536
    2.4231      1.534718    0.7838799     0.7988808      1.56776
    2.4327      1.548934    0.7911037      0.806446     1.582207
    2.4423      1.563049    0.7984025     0.8141982     1.596805
    2.4519       1.57742    0.8056622     0.8220747     1.611324
    2.4615       1.59201    0.8129201      0.830305      1.62584
    2.4711      1.606781    0.8202587     0.8387555     1.640517
    2.4807      1.621621    0.8276998     0.8468301       1.6554
    2.4903      1.636236    0.8352723     0.8549006     1.670545
    2.4999      1.651021    0.8429666     0.8633965     1.685933
    2.5095      1.666443    0.8508638     0.8719997     1.701728
    2.5191      1.681942    0.8590123     0.8806423     1.718025
    2.5287      1.697807     0.867134      0.889287     1.734268
    2.5383      1.713682    0.8753298     0.8979257      1.75066
    2.5479      1.729422    0.8837713      0.906441     1.767543
    2.5575       1.74552    0.8923258     0.9149876     1.784652
    2.5671      1.761663    0.9007982     0.9240323     1.801596
    2.5767      1.778403    0.9093611      0.933335     1.818722
    2.5863      1.795929    0.9180167     0.9424997     1.836033
    2.5958      1.813752    0.9266382      0.951982     1.853276
    2.6054       1.83107    0.9354298     0.9612879      1.87086
     2.615      1.848356    0.9444233     0.9704304     1.888847
    2.6246      1.866463    0.9534947       0.98001     1.906989
    2.6342      1.884721    0.9625196     0.9896849     1.925039
    2.6438      1.903152    0.9716077     0.9994911     1.943215
    2.6534      1.921752    0.9809724      1.009543     1.961945
     2.663       1.94018      0.99044        1.0198      1.98088
    2.6726      1.958633     0.999933      1.030326     1.999866
    2.6822       1.97745     1.009676      1.040651     2.019351
    2.6918      1.996778     1.019464      1.051005     2.038929
    2.7014      2.016304      1.02938      1.061706      2.05876
     2.711      2.035909      1.03951      1.072678      2.07902
    2.7206      2.055936      1.04976      1.083959     2.099521
    2.7302      2.076186     1.060026      1.094905     2.120051
    2.7398      2.096309     1.070287      1.105799     2.140574
    2.7494      2.116603     1.080699      1.116846     2.161398
     2.759      2.137118     1.091273      1.127737     2.182547
    2.7686      2.157966     1.101937      1.138949     2.203874
    2.7782      2.179047     1.112628      1.150431     2.225257
    2.7878      2.200089     1.123583      1.161982     2.247166
    2.7974      2.221413     1.134649      1.173387     2.269297
     2.807      2.243054     1.145636      1.184512     2.291272
    2.8166      2.264736     1.156717      1.195762     2.313434
    2.8262      2.286688      1.16789       1.20711      2.33578
    2.8358      2.309104     1.179236      1.218777     2.358472
    2.8454      2.331753     1.190694      1.230695     2.381389
     2.855      2.354067     1.202034      1.242531     2.404067
    2.8646      2.376319     1.213587       1.25435     2.427175
    2.8741      2.399173      1.22532      1.266433     2.450641
    2.8837      2.422257     1.237025      1.278525     2.474049
    2.8933       2.44502     1.248736      1.290656     2.497472
    2.9029      2.468028      1.26044      1.303155      2.52088
    2.9125      2.491397     1.272412      1.315681     2.544824
    2.9221      2.514958     1.284648      1.328466     2.569296
    2.9317      2.538981     1.296863       1.34136     2.593726
    2.9413      2.563158     1.309084      1.354193     2.618167
    2.9509      2.587311     1.321382      1.366992     2.642764
    2.9605      2.611183     1.333886      1.380093     2.667772
    2.9701       2.63509      1.34645      1.393164       2.6929
    2.9797       2.65927     1.358933      1.405874     2.717866
    2.9893      2.683331       1.3714      1.418929       2.7428
    2.9989      2.707284     1.383837      1.432153     2.767674
    3.0085      2.731498     1.396379      1.445407     2.792757
    3.0181      2.755971     1.408991      1.458693     2.817981
    3.0277      2.780863      1.42164      1.471867      2.84328
    3.0373      2.806019     1.434403      1.484901     2.868807
    3.0469      2.830988     1.447239      1.498236     2.894479
    3.0565      2.856039     1.460014      1.511721     2.920028
    3.0661      2.881245     1.472801      1.524883     2.945602
    3.0757      2.906141     1.485713      1.537725     2.971426
    3.0853      2.930875     1.498623      1.550863     2.997246
    3.0949      2.955976     1.511556      1.564305     3.023113
    3.1045      2.981297     1.524642      1.577605     3.049284
    3.1141      3.006573     1.537793      1.591234     3.075586
    3.1237      3.031762     1.550948      1.604825     3.101895
    3.1333      3.056916     1.564021      1.618648     3.128042
    3.1428      3.082015     1.577064      1.632574     3.154128
    3.1524      3.107229     1.590373      1.645839     3.180746
     3.162      3.132702     1.603736      1.659078     3.207472
    3.1716      3.158353     1.617038      1.672789     3.234076
    3.1812      3.184024     1.630468      1.686361     3.260936
    3.1908      3.209597     1.643873      1.699862     3.287746
    3.2004      3.235108     1.657149      1.713416     3.314298
      3.21      3.260941     1.670429      1.726975     3.340859
    3.2196      3.287158     1.683769      1.740971     3.367538
    3.2292      3.313324     1.697385      1.754836     3.394769
    3.2388      3.339555     1.711172      1.768531     3.422345
    3.2484      3.365726       1.7248       1.78254     3.449599
     3.258      3.391665     1.738354      1.796459     3.476709
    3.2676      3.417695     1.751916       1.81045     3.503833
    3.2772      3.443874     1.765576      1.824394     3.531152
    3.2868      3.470377     1.779343      1.838252     3.558687
    3.2964      3.497027     1.793021      1.852633     3.586043
     3.306      3.523899     1.806645      1.867134      3.61329
    3.3156      3.551244     1.820567      1.881408     3.641134
    3.3252      3.578354     1.834694      1.895876     3.669389
    3.3348      3.605406     1.848788       1.91015     3.697575
    3.3444      3.632985      1.86282      1.924007     3.725641
     3.354      3.660492     1.876773      1.938028     3.753545
    3.3636      3.687786     1.890802       1.95247     3.781604
    3.3732       3.71525      1.90498       1.96697     3.809961
    3.3828      3.742716     1.919153      1.981294     3.838305
    3.3924      3.770074     1.933334      1.995653     3.866669
     3.402      3.797457     1.947526      2.009837     3.895052
    3.4116      3.825004     1.961827       2.02425     3.923653
    3.4211      3.852718     1.976278      2.039087     3.952556
    3.4307      3.880447     1.990931      2.053711     3.981861
    3.4403      3.908871     2.005616       2.06856     4.011232
    3.4499      3.937874     2.020231      2.083905     4.040462
    3.4595      3.967063     2.034936      2.099526     4.069871
    3.4691      3.995943     2.049849      2.114925     4.099698
    3.4787      4.024361     2.064722      2.130275     4.129445
    3.4883       4.05333      2.07932      2.146032      4.15864
    3.4979      4.082532     2.094123      2.161681     4.188247
    3.5075      4.111569     2.109244       2.17752     4.218488
    3.5171      4.141265     2.124568       2.19359     4.249135
    3.5267      4.171197     2.140084      2.209179     4.280168
    3.5363      4.200871     2.155473      2.224359     4.310947
    3.5459      4.230777     2.170858      2.240039     4.341716
    3.5555       4.26039     2.186236      2.256492     4.372472
    3.5651      4.290082     2.201629      2.272994     4.403258
    3.5747      4.320431     2.217428      2.288775     4.434856
    3.5843      4.351558     2.233137      2.304319     4.466274
    3.5939      4.383089     2.248806      2.319823     4.497612
    3.6035      4.414771     2.264748      2.335551     4.529496
    3.6131      4.446541     2.280708      2.351842     4.561416
    3.6227      4.478257      2.29649       2.36838     4.592979
    3.6323      4.509832     2.312397      2.385079     4.624795
    3.6419      4.541456      2.32867      2.401851     4.657339
    3.6515       4.57372     2.344974      2.418627     4.689948
    3.6611      4.606232     2.361398       2.43558     4.722796
    3.6707      4.638627     2.378081      2.453136     4.756162
    3.6803      4.670912     2.394976      2.470693     4.789952
    3.6898       4.70319     2.411746      2.488305     4.823492
    3.6994      4.736047     2.428482      2.506172     4.856965
     3.709      4.769137     2.445556       2.52354     4.891113
    3.7186      4.802167     2.462737      2.540565     4.925474
    3.7282      4.835427       2.4799      2.557845       4.9598
    3.7378       4.86887       2.4969      2.575354       4.9938
    3.7474      4.902612     2.513987      2.593035     5.027975
     3.757      4.936251     2.531385      2.611231      5.06277
    3.7666      4.969883     2.548842      2.629895     5.097684
    3.7762      5.003816     2.566289      2.648243     5.132578
    3.7858      5.038611      2.58381      2.666306     5.167621
    3.7954      5.073741     2.601561      2.684397     5.203122
     3.805      5.108553     2.619348      2.702527     5.238696
