#     'r'     'g11(r)'     'g12(r)'     'g22(r)'
    2.3751       1.30226     1.344154      1.328572
    2.3847      1.270032     1.362218      1.380593
    2.3943      1.292938     1.308881      1.372253
    2.4039      1.358282     1.364611      1.380095
    2.4135      1.330899     1.349803      1.337209
    2.4231      1.366828     1.333871      1.368879
    2.4327      1.298868     1.370678       1.47335
    2.4423       1.32727     1.340504      1.416316
    2.4519      1.325588     1.335171      1.496786
    2.4615      1.346877     1.319044      1.523513
    2.4711      1.337704     1.343919      1.553589
    2.4807      1.338689     1.335424      1.364007
    2.4903      1.276928     1.370299      1.529734
    2.4999      1.348854     1.357945      1.493208
    2.5095      1.369273      1.42086      1.544577
    2.5191      1.341486     1.424661      1.483976
    2.5287      1.412394     1.390011      1.522431
    2.5383      1.322476     1.428971      1.459213
    2.5479      1.368848     1.452731      1.457793
    2.5575      1.363031     1.445687      1.448058
    2.5671      1.356087     1.403546      1.604265
    2.5767      1.442731     1.454768      1.511786
    2.5863      1.465879     1.413103      1.535351
    2.5958      1.469987     1.422446      1.594182
    2.6054      1.362014     1.447827      1.454585
     2.615      1.443963     1.466869      1.518732
    2.6246      1.473857     1.451677      1.574028
    2.6342       1.44697     1.430823      1.526838
    2.6438      1.480208     1.450842      1.593393
    2.6534      1.452487     1.497137      1.581888
     2.663      1.432219     1.461861      1.634989
    2.6726      1.435763     1.483821        1.6428
    2.6822      1.467988     1.517776       1.54919
    2.6918       1.49331     1.476594      1.629084
    2.7014      1.477153     1.535181      1.632399
     2.711      1.484347     1.519866      1.688355
    2.7206      1.519627     1.549859      1.701596
    2.7302      1.496507     1.502716      1.564881
    2.7398      1.479858     1.527449      1.663384
    2.7494      1.500763     1.525745      1.587198
     2.759      1.491612     1.553707      1.595521
    2.7686      1.528226     1.530107      1.658294
    2.7782      1.504404     1.540569      1.650874
    2.7878       1.50178     1.584144      1.655485
    2.7974      1.523875     1.550593        1.5867
     2.807      1.525748     1.540744      1.554228
    2.8166      1.509029      1.55582      1.600321
    2.8262      1.542632     1.545272       1.56036
    2.8358      1.552654     1.582614      1.667403
    2.8454      1.553666     1.555023      1.607351
     2.855      1.486284     1.529189      1.623188
    2.8646      1.524902     1.592378      1.581161
    2.8741      1.547283     1.556518      1.672889
    2.8837      1.535141     1.563822      1.562048
    2.8933      1.484309     1.537781      1.661878
    2.9029      1.547503     1.541379      1.638033
    2.9125      1.511783      1.58769      1.647357
    2.9221      1.552385      1.58949      1.683754
    2.9317      1.551466     1.561353      1.653812
    2.9413      1.551867     1.570599      1.646622
    2.9509      1.528462     1.560844      1.623469
    2.9605       1.49628     1.602293      1.702275
    2.9701      1.513377     1.555621      1.594647
    2.9797      1.511052      1.56171      1.590503
    2.9893      1.479287      1.53182      1.660104
    2.9989      1.478652     1.534485      1.611577
    3.0085      1.492528     1.537938      1.646697
    3.0181      1.491334     1.532201      1.598803
    3.0277      1.524518     1.527559       1.59883
    3.0373      1.503997     1.540317      1.545054
    3.0469      1.483286     1.525638      1.651385
    3.0565      1.494899     1.506565      1.560556
    3.0661      1.483087     1.509678      1.554925
    3.0757      1.439904      1.51701      1.465763
    3.0853        1.4462     1.490548      1.605663
    3.0949      1.464508     1.503696      1.517229
    3.1045      1.453662     1.507236      1.553703
    3.1141      1.441325     1.500151      1.573714
    3.1237      1.426139     1.489563      1.525931
    3.1333      1.419781     1.463537      1.607388
    3.1428      1.402703     1.464778      1.530106
    3.1524      1.415392     1.505226      1.440474
     3.162      1.414552     1.458638      1.506161
    3.1716      1.417926      1.47401      1.527109
    3.1812      1.399637     1.468947      1.457408
    3.1908      1.390471     1.451021      1.493568
    3.2004      1.376102     1.423481      1.451331
      3.21      1.408808     1.434846      1.477266
    3.2196      1.400609     1.419227      1.527541
    3.2292      1.386732     1.476539      1.431514
    3.2388      1.391066     1.438534      1.474025
    3.2484      1.363978     1.425656      1.480753
     3.258       1.35067     1.406537      1.437724
    3.2676      1.357604     1.410585      1.478653
    3.2772      1.350205     1.410246       1.41083
    3.2868      1.375098     1.416323      1.444216
    3.2964       1.34948     1.375569       1.50144
     3.306      1.381831     1.389149      1.451606
    3.3156      1.381585     1.419761       1.43828
    3.3252      1.342308     1.414198      1.474152
    3.3348      1.360162     1.396694      1.382743
    3.3444      1.379173     1.386101      1.374819
     3.354      1.337418     1.364963      1.399346
    3.3636      1.342791     1.385517      1.442067
    3.3732      1.338731     1.378493      1.394366
    3.3828      1.327935     1.368658      1.391884
    3.3924      1.313205     1.364785      1.385367
     3.402        1.3155     1.355261      1.342738
    3.4116      1.314093      1.37021      1.413775
    3.4211      1.316647     1.368638      1.407841
    3.4307       1.30091     1.392818      1.357832
    3.4403      1.367203     1.359446      1.434741
    3.4499      1.340268     1.364385      1.435236
    3.4595      1.369368     1.361021      1.470025
    3.4691      1.296871     1.387837      1.378182
    3.4787      1.312262     1.338545      1.445523
    3.4883       1.33287     1.322622      1.436944
    3.4979      1.318927     1.361298      1.410066
    3.5075      1.303544      1.36516       1.45591
    3.5171      1.363834     1.382852      1.436072
    3.5267      1.310078     1.384651      1.354112
    3.5363      1.326488     1.345339      1.348012
    3.5459      1.316395     1.369088      1.428258
    3.5555        1.2865     1.329479      1.468994
    3.5651       1.30926     1.357273      1.421458
    3.5747      1.329789     1.385657      1.327708
    3.5843      1.362426     1.326995      1.365855
    3.5939      1.350218     1.364318      1.306364
    3.6035      1.360911     1.359441      1.390142
    3.6131      1.343319      1.35282      1.388111
    3.6227      1.342107     1.315059      1.417382
    3.6323      1.317285     1.359929      1.400503
    3.6419      1.332228     1.361944      1.414753
    3.6515      1.356715     1.351029        1.3864
    3.6611      1.338789     1.367582       1.42945
    3.6707      1.332946     1.379501      1.471456
    3.6803      1.315864     1.387998      1.414579
    3.6898      1.318689     1.344764      1.465296
    3.6994      1.349169     1.368413      1.441281
     3.709      1.323777     1.385202      1.369605
    3.7186      1.330662     1.371359      1.371513
    3.7282      1.328412     1.368198      1.396246
    3.7378      1.331707     1.331468      1.394078
    3.7474      1.338393     1.368244      1.409024
     3.757       1.31005     1.366462      1.461137
    3.7666      1.324379     1.363591      1.467905
    3.7762      1.320098     1.351117      1.396861
    3.7858      1.377924     1.361386      1.409256
    3.7954      1.332293      1.37274      1.387073
     3.805      1.339877     1.353155      1.400964
    3.8146      1.329422     1.369312      1.348649
    3.8242      1.335455      1.33987      1.357258
    3.8338      1.337069     1.350381      1.414278
    3.8434      1.326603      1.36077      1.417193
     3.853       1.29681     1.332409      1.474359
    3.8626      1.345086      1.31363      1.445743
    3.8722      1.326429      1.31743      1.405503
    3.8818      1.355052     1.361157      1.427366
    3.8914      1.340713     1.340808      1.417776
     3.901       1.35014     1.337518       1.40979
    3.9106      1.325181     1.330962      1.410989
    3.9202      1.340854     1.371446      1.381898
    3.9298        1.3402     1.366256      1.361606
    3.9394      1.358856     1.335842      1.416411
     3.949      1.329189     1.363285       1.42544
    3.9585      1.341391     1.331176      1.343357
    3.9681      1.336631     1.364967      1.421529
    3.9777      1.336668     1.340938      1.366183
    3.9873      1.336568     1.356352      1.437126
    3.9969      1.342266      1.35867       1.41956
    4.0065      1.312467     1.344711      1.422425
    4.0161      1.307641     1.346313      1.384881
    4.0257      1.337339     1.341689      1.415589
    4.0353      1.347378     1.348359      1.394586
    4.0449      1.341702     1.381151      1.393187
    4.0545      1.365245     1.324818      1.403101
    4.0641       1.36384     1.374566      1.419945
    4.0737      1.336092     1.350877      1.388043
    4.0833      1.331792      1.33805      1.420574
    4.0929      1.344952     1.333857      1.434277
    4.1025      1.329014     1.354585      1.442312
    4.1121      1.362054     1.381728      1.436504
    4.1217      1.320423     1.379053      1.394693
    4.1313      1.302962     1.365639      1.401845
    4.1409      1.339232     1.372379      1.377274
    4.1505      1.338885     1.331629      1.415455
    4.1601      1.336739      1.35439       1.41968
    4.1697      1.353177      1.35316      1.431431
    4.1793      1.336782     1.375144      1.446164
    4.1889      1.325262     1.358726      1.452355
    4.1985      1.372102     1.378484      1.312935
    4.2081      1.358205     1.347887       1.36648
    4.2177      1.351922     1.345451      1.443053
    4.2273      1.362244     1.344535      1.420894
    4.2368      1.326771     1.348348      1.378628
    4.2464      1.347384       1.3595      1.462236
     4.256      1.339713     1.352844      1.419279
    4.2656      1.341771     1.338911      1.386065
    4.2752      1.354908     1.367452      1.385362
    4.2848      1.348636     1.368275      1.423489
    4.2944      1.338944     1.365098      1.445712
     4.304      1.346554     1.349741      1.373167
    4.3136      1.341297     1.339487      1.386224
    4.3232        1.3665      1.33737      1.456379
    4.3328      1.352932     1.372902      1.402044
    4.3424      1.334239     1.353529      1.448055
     4.352      1.329893     1.359494      1.401572
    4.3616      1.329233     1.328955      1.372596
    4.3712      1.335855     1.347481      1.408762
    4.3808      1.316603     1.337761      1.337576
    4.3904      1.343166     1.345242      1.329724
       4.4      1.328422     1.338982      1.446034
    4.4096      1.345625     1.347857      1.428985
    4.4192      1.321662     1.331825      1.395005
    4.4288      1.344243     1.366915       1.42532
    4.4384      1.336277     1.334545      1.404999
     4.448      1.323575     1.345189      1.366036
    4.4576       1.35137     1.343485      1.394876
    4.4672      1.341887     1.348362      1.395104
    4.4768      1.320022     1.331508      1.423548
    4.4864      1.310921      1.32505      1.359703
     4.496      1.298058     1.323316      1.399917
    4.5055      1.323883     1.323012      1.396632
    4.5151      1.320729     1.322793      1.382718
    4.5247      1.323069     1.331429      1.359823
    4.5343      1.306843     1.339135       1.40308
    4.5439      1.319316     1.332643       1.42231
    4.5535      1.332885     1.322003      1.360251
    4.5631      1.331186     1.332863       1.34188
    4.5727      1.320147     1.345651      1.443747
    4.5823        1.3523     1.344159      1.406701
    4.5919      1.306566     1.334883      1.354513
    4.6015       1.31994     1.342271      1.394259
    4.6111      1.340834     1.310444      1.341438
    4.6207      1.325033     1.335122       1.38996
    4.6303      1.305923      1.33905      1.408787
    4.6399      1.313015     1.325445      1.366604
    4.6495      1.321022     1.343381      1.407936
    4.6591       1.31416     1.310011      1.375363
    4.6687       1.34781     1.337497      1.352291
    4.6783      1.299864     1.337573      1.355956
    4.6879      1.308543     1.305129      1.390969
    4.6975      1.325379     1.315027       1.39899
    4.7071      1.321901     1.335554      1.323679
    4.7167       1.33722     1.341755      1.320737
    4.7263       1.35024     1.332077      1.441678
    4.7359      1.325024     1.321346      1.349794
