#     'r'     'g11(r)'     'g12(r)'     'g22(r)'
    2.8454      3.466818     3.544238      3.217781
     2.855      3.312535     3.512409      3.461481
    2.8646      3.350576     3.289875      3.392316
    2.8741      3.189288     3.378013      3.020681
    2.8837       3.28621     3.354197      2.941451
    2.8933       3.13552     3.290444      3.165241
    2.9029      3.030795     3.149328      3.085969
    2.9125      3.079184     3.134321      2.926747
    2.9221       3.04963     3.058356      3.109878
    2.9317      2.921732     3.045662      2.775406
    2.9413      2.779263     2.918744       2.68988
    2.9509      2.693013     2.872296      2.865552
    2.9605      2.679818     2.823461      2.553297
    2.9701      2.577727     2.712835      2.661331
    2.9797       2.45599      2.53712      2.367167
    2.9893      2.397749     2.472692      2.357114
    2.9989       2.31766     2.483197      2.541782
    3.0085      2.372616     2.450375      2.134998
    3.0181      2.148786     2.272413       2.16666
    3.0277      2.059497     2.223206      2.120496
    3.0373       2.14369     2.192185      2.201374
    3.0469      2.052086     2.168266      1.953371
    3.0565      1.991846      2.03629      1.917855
    3.0661      1.971197     2.046303      1.975239
    3.0757      2.059125      1.93382       2.05606
    3.0853      1.891555     1.897254      1.699536
    3.0949      1.884612     1.886399       1.73082
    3.1045      1.862906     1.838082      1.841222
    3.1141      1.874114     1.834413      1.736686
    3.1237      1.907389     1.739611      1.646296
    3.1333      1.751755     1.706034      1.626904
    3.1428      1.760442     1.640804      1.711964
    3.1524      1.768703     1.707122      1.620969
     3.162      1.702297     1.682807      1.579106
    3.1716      1.722666     1.657338       1.43763
    3.1812      1.663197     1.676645      1.577067
    3.1908      1.657695      1.63466      1.330489
    3.2004      1.700455     1.612628      1.414116
      3.21      1.704158     1.623746      1.603311
    3.2196       1.72817     1.567886      1.637917
    3.2292      1.749676     1.543001      1.464718
    3.2388       1.79349     1.684948      1.424422
    3.2484      1.666015     1.604506      1.571064
     3.258      1.671009     1.634005      1.461582
    3.2676      1.756945     1.665533      1.615884
    3.2772      1.779902     1.578032      1.619217
    3.2868      1.752873     1.574635      1.436089
    3.2964      1.713251     1.577809      1.549877
     3.306      1.656034     1.592916      1.344094
    3.3156      1.682305     1.662272      1.457051
    3.3252      1.724515     1.708116      1.502461
