  -81666372983891.328       -44318959518681.125       -5546227649705.0049        645411925960.32739     
   270.90937266150092       -105.35557335388570       -310.42267746909192        458.18947694733714        258.75799165218416       -315.54377220889660        248.14063590054911     
   130.69051004214364        43.993301746208850       -484.68764815607892        335.06310811370236        451.40703024949687       -355.37416126185997        255.36248443340202     
   21.600557410170474        156.54011584328779       -607.47375117397826        235.25838944086925        588.60631525543852       -378.69639861550314        255.99992037627015     
  -61.694689520148316        238.92000322867500       -688.86561703514076        155.19489638770833        681.16482551443539       -389.15255936927753        251.72295901652973     
  -123.74806498605318        296.79096888706459       -737.39796113856141        91.772481275763070        738.21650840737368       -389.77656531245538        243.89615722886202     
  -168.44740185630354        334.96473370586381       -760.24868317024334        42.295154604892929        767.43642395814243       -383.07088968855618        233.61950031917024     
  -199.10717114027250        357.51419434350021       -763.40659420258294        4.4157039597208856        775.22662438279087       -371.07609453540391        221.76611450761689     
  -218.54257898425905        367.86449323122503       -751.82067288612006       -23.905697266637777        766.87979813018467       -355.43435328008184        209.01685808891500     
  -229.13138050366112        368.87250235484106       -729.53512773040370       -44.433891591270203        746.72582507550862       -337.44751372613979        195.89174529559364     
  -232.86709753588326        362.89786522583756       -699.81267968210807       -58.685676807060709        718.26434264515819       -318.12991458970896        182.77812891089437     
  -231.40612062567374        351.86750191728834       -665.24726991555224       -67.953628704605194        684.28504754215635       -298.25600455006867        169.95561372388701     
  -226.11024935897950        337.33463142481082       -627.86667576142077       -73.328229910949560        646.97661638730187       -278.40277720724401        157.61773652591458     
  -218.08557141590188        320.53280675227450       -589.22517529941342       -75.719062001981769        608.02466752512748       -258.98708199819765        145.89052610778410     
  -208.21813384076734        302.42514909246290       -550.48628765121543       -75.875334472359128        568.69901986373202       -240.29795178629604        134.84811793656462     
  -197.20659843980806        283.74880092858490       -512.49569612298808       -74.405739533322844        529.93050142540289       -222.52417725050631        124.52566906198086     
  -185.59191250557882        265.05460548632186       -475.84459350701309       -71.797450724905318        492.37766336420611       -205.77745345782279        114.92984477911570     
  -173.78399174584641        246.74204631145443       -440.92387452658244       -68.434025107047887        456.48389991325729       -190.11148731351614        106.04717603839475     
  -162.08540675858313        229.08956859548761       -407.96976022788130       -64.611966283667044        422.52562428414342       -175.53750013127160        97.850590888749721     
  -150.71211565820582        212.28048302793147       -377.10158728285160       -60.555763383841978        390.65226641950085       -162.03658396722750        90.304411014918557     
  -139.81133134095791        196.42474995297741       -348.35257374923651       -56.431279603119719        360.91894829190562       -149.56936414419997        83.368087392747526     
  -129.47668414835974        181.57699214495827       -321.69443135682945       -52.357444991333907        333.31272828508281       -138.08340669901034        76.998919791829948     
  -119.76087453788831        167.75113992752708       -297.05669162861074       -48.416272626866110        307.77331392122164       -127.51877034023919        71.153975360674693     
  -110.68605783250780        154.93212800025242       -274.34158543165074       -44.661280945161785        284.20910144704169       -117.81206599421186        65.791389346077523     
  -102.25221982850087        143.08506638308029       -253.43525192425821       -41.124441653182686        262.50934827007768       -108.89933700766957        60.871199674732253     
  -94.443811457558752        132.16228810055725       -234.21598178049905       -37.821808350932784        242.55320090553363       -100.71802747399065        56.355838098591477     
  -87.234903923064977        122.10865108228992       -216.56010599127976       -34.757989628038160        224.21621641156710       -93.208260876942887        52.210375287294610     
  -80.593114461407637        112.86542817955271       -200.34605733781845       -31.929636809084087        207.37492510914973       -86.313606761401019        48.402595303057389     
  -74.482526803918873        104.37308161803475       -185.45704101954510       -29.328111469642216        191.90988892932705       -79.981480029059895        44.902956111381748     
  -68.865809096944048        96.573171838198490       -171.78266864993057       -26.941479669862090        177.70763401343120       -74.163281341360218        41.684477555088151     
  -63.705702261826339        89.409607062246181       -159.21984327997168       -24.755971777064442        164.66175493916242       -68.814363573432928        38.722588112437577     
  -58.966022873930676        82.829406508197479       -147.67311227677561       -22.757020323203118        152.67342920339368       -63.893886116056876        35.994949793043197     
  -54.612304028145950        76.783107726714803       -137.05466058968665       -20.929976963118666        141.65152167370823       -59.364601740549126        33.481276742079672     
  -50.612167045042511        71.224926354001553       -127.28406681800524       -19.260585821057198        131.51241693302680       -55.192608285515959        31.163156088363483     
  -46.935503263502071        66.112744570009994       -118.28791706547301       -17.735279780524852        122.17967966920398       -51.347086280215848        29.023876732501996     
  -43.554521331106791        61.407991029209050       -109.99933882339491       -16.341348572119362        113.58361521161746       -47.800037739228635        27.048268965736757     
  -40.443707384139962        57.075452313149690       -102.35750169052666       -15.067017212165636        105.66078241640932       -44.526033639905243        25.222556962073853     
  -37.579727549099523        53.083048648067560       -95.307114586247238       -13.901465358044888        98.353491027143548       -41.501976804350079        23.534223798971485     
