   1.7824920379203350E+017  -37591612526780536.       -42982371403892544.        1496498237859726.2     
  -37591612526780456.        72899905437907664.       -1180354552040762.5       -12879091452855086.        1041639703933211.4     
  -42982371403892552.       -1180354552040741.0        21948844199663420.       -1057918143697321.6       -3858912667733229.5        311935599797205.75     
   76808.063793787529       -430254.92562405992       -132212.10343995175        791126.83439281571       -124082.74846366071       -378945.42897556431        63488.556992212500     
   72047.192640958005       -403684.28920562891       -124082.74846366125        742649.53796122514       -116511.38402089151       -355899.10362338321        59642.624591612039     
   67615.733811536513       -378945.42897556140       -116511.38402089023        697488.48458162497       -109455.78071702912       -334417.62629071274        56056.803167019847     
   63488.556992215781       -355899.10362338420       -109455.78071703018        655393.52421141276       -102877.19805713720       -314383.82653481868        52711.692955364866     
   59642.624591610758       -334417.62629071437       -102877.19805713587        616135.10656469234       -96740.072235833126       -295690.11244171101        49589.473865501328     
   56056.803167020931       -314383.82653482020       -96740.072235832660        579502.44423196744       -91011.734183249544       -278237.62268966297        46673.766232836213     
   52711.692955364408       -295690.11244171159       -91011.734183250592        545301.85225242632       -85662.154504122664       -261935.45952117653        43949.504781094598     
   49589.473865499851       -278237.62268966314       -85662.154504122504        513355.24536794925       -80663.712370683206       -246699.99398855859        41402.824297339619     
   46673.766232836249       -261935.45952117673       -80663.712370683759        483498.77739988908       -75990.986391256272       -232454.23642511034        39020.956153602732     
   43949.504781092175       -246699.99398855746       -75990.986391257553        455581.60836376896       -71620.564938917742       -219127.26561135531        36792.134358225201     
   41402.824297340492       -232454.23642511110       -71620.564938917989        429464.78611887724       -67530.874074403197       -206653.71063553123        34705.510352568941     
   39020.956153605679       -219127.26561135586       -67530.874074404055        405020.23184298584       -63702.021345593450       -194973.28052597708        32751.075434136765     
   36792.134358223419       -206653.71063553219       -63702.021345592118        382129.81827292527       -60115.653706156845       -184030.33653449619        30919.590358918591     
   34705.510352569327       -194973.28052597781       -60115.653706154742        360684.53213543101       -56754.828633327386       -173773.50329519322        29202.521270211906     
   32751.075434136274       -184030.33653449648       -56754.828633325909        340583.71251225728       -53603.896577600994       -164155.31491775898        27591.981351980623     
   30919.590358916819       -173773.50329519252       -53603.896577599226        321734.35749422252       -50648.394164817815       -155131.89270276282        26080.677678848642     
   29202.521270211721       -164155.31491776044       -50648.394164816818        304050.49288618588       -47874.946674548344       -146662.65138119785        24661.862726535866     
   27591.981351979950       -155131.89270276282       -47874.946674548402        287452.59685521288       -45271.179418854372       -138710.03132532610        23329.290274572104     
   26080.677678848911       -146662.65138119875       -45271.179418854568        271867.07527235016       -42825.636587414454       -131239.25414496506        22077.174954055747     
   24661.862726535870       -138710.03132532601       -42825.636587414905        257225.78292390631       -40527.707383846653       -124218.09950875127        20900.155427932092     
   23329.290274572191       -131239.25414496474       -40527.707383847279        243465.58632552755       -38367.558478507221       -117616.70123407754        19793.260757689033     
