   241294236696100.19       -406197617978216.50        253130513241361.78       -103223919785357.47     
  -1564093383.2985630        1998895285.7625237       -2267863688.0580878        2222331427.1989665       -1846851600.2238662        1322590226.5748332       -836038040.83662891     
  -1265515971.4245656        1623878893.9261024       -1846851600.2349668        1812375143.3913143       -1507286750.7287962        1079616451.1560760       -682154062.20054078     
  -1027165241.5731063        1322590226.5793135       -1507286750.7267008        1480970928.6757646       -1232499244.3359041        883004704.27078474       -557799120.28440917     
  -836038040.82214963        1079616451.1379635       -1232499244.3216405        1212246437.9601996       -1009473136.1179349        723425850.10223854       -456972016.79334724     
  -682154062.16849470        883004704.24470747       -1009473136.1073221        993756905.55468011       -827984395.89806879        593555087.24756229       -374976196.76205844     
  -557799120.24893332        723425850.08252573       -827984395.88957739        815688749.55148566       -679956873.72161233        487609284.00774485       -308115598.90708017     
  -456972016.76343131        593555087.22932696       -679956873.71274066        670261510.53009200       -558977523.45848644        400998737.43434203       -253466292.49132401     
  -374976196.73480177        487609283.98891759       -558977523.44786024        551275585.96042478       -459928995.99642771        330063225.27451134       -208703773.48773298     
  -308115598.88169891        400998737.41598797       -459928995.98794752        453768000.05816871       -378709405.26984411        271870653.87366039       -171971494.73297533     
  -253466292.47014433        330063225.26173109       -378709405.26454914        373748795.52542943       -312017285.85162413        224062522.34807754       -141780181.90438706     
  -208703773.47462568        271870653.86699319       -312017285.84976834        307997967.60867167       -257185602.99976081        184734625.33531350       -116930295.11901021     
  -171971494.72581044        224062522.34589520       -257185602.99991140        253908117.86697701       -212052876.30702001        152344433.30000156       -96452000.409663185     
  -141780181.90054378        184734625.33439842       -212052876.30652216        209361812.51380318       -174862528.36196110        125638776.80906925       -79558461.549169943     
  -116930295.11551516        152344433.29764202       -174862528.36049324        172635413.55233756       -144183804.64074078        103597061.94078569       -65609316.114174455     
  -96452000.404890835        125638776.80531539       -144183804.63841796        142323201.88610792       -118849260.98992707        85386424.601024151       -54081973.863515668     
  -79558461.543524638        103597061.93640542       -118849260.98778598        117277133.56569149       -97905041.577547491        70326108.439835876       -44548949.129442304     
  -65609316.108520560        85386424.597233057       -97905041.575752571        96558705.998699382       -80571086.607130259        57859006.125166006       -36659867.126016498     
  -54081973.859331191        70326108.437328503       -80571086.606257245        79400261.995539710       -66209096.622367479        47528795.461892247       -30127105.627392378     
  -44548949.127380371        57859006.124519907       -66209096.622435175        65173699.214909419       -54296597.473968379        38961472.105780147       -24714276.635104280     
  -36659867.125810467        47528795.462080874       -54296597.473933242        53365034.153616093       -44405839.630898669        31850360.424538765       -20226937.007295366     
  -30127105.628426071        38961472.106565244       -44405839.631638825        43553632.453600660       -36186559.334411234        25943895.469913412       -16505057.624234773     
  -24714276.636695910        31850360.426078767       -36186559.335236989        35395190.463706605       -29351850.368530918        21035629.216979031       -13416888.003720440     
  -20226937.009368468        25943895.471339509       -29351850.369172394        28607758.248511314       -23666561.952985208        16956035.475287564       -10853935.408736248     
  -16505057.626024595        21035629.218147453       -23666561.953596082        22960248.599282444       -18937763.741563566        13565779.742801800       -8726840.3109962102     
  -13416888.005041637        16956035.476213813       -18937763.741965715        18262992.502625529       -15006913.429322219        10750189.920471940       -6961978.1556159034     
  -10853935.409481484        13565779.743131904       -15006913.429321172        14359988.763241658       -11743433.858800873        8414716.7629346587       -5498654.0558181917     
  -8726840.3111035209        10750189.920305025       -11743433.858641515        11122561.437106524       -9039460.7712697126        6481213.3090203591       -4286785.0368030416     
  -6961978.1553028086        8414716.7626199443       -9039460.7711012755        8444189.1186233405       -6805563.9835973000        4884893.6011347007       -3284985.7499204166     
  -5498654.0554537391        6481213.3087940635       -6805563.9835304394        6236309.1190397618       -4967277.2405402102        3571855.1149246925       -2458989.8100876040     
  -4286785.0365024898        4884893.6009569401       -4967277.2404177152        4424930.4358376851       -3462297.8190158280        2497068.3559594792       -1780351.3024714731     
  -3284985.7496756590        3571855.1147084935       -3462297.8189036176        2947914.4127833485       -2238238.0191382384        1622752.3702810504       -1225380.5279358134     
  -2458989.8098845528        2497068.3558384813       -2238238.0191123723        1752802.8222233269       -1250828.2778114406        917067.45857864665       -774275.47707302333     
  -1780351.3023751918        1622752.3702619942       -1250828.2778141047        795090.89640991390       -462486.70082663576        353066.90892046812       -410416.40583866235     
  -1225380.5279128863        917067.45857532520       -462486.70082450268        36858.350030192640        158817.06114410647       -92141.449061723353       -119795.65980164643     
  -774275.47707152728        353066.90892645635        158817.06113221392       -554314.83351095254        640464.08537376847       -438065.26793170208        109441.11760175598     
  -410416.40588837676       -92141.449001433561        640464.08532559557       -1006208.8613395933        1005904.8246578579       -701363.85191154433        287362.83745453483     
  -119795.65992789723       -438065.26781476435        1005904.8245861616       -1342650.9801307057        1275235.2683923589       -896279.03655188042        422547.32237345324     
   109441.11742904995       -701363.85177174944        1275235.2683166752       -1584069.2617000300        1465663.7732674005       -1034984.0772355885        522316.93635585968     
   287362.83726156247       -896279.03640892019        1465663.7731935245       -1747945.4989167706        1591894.7924951743       -1127869.2596359532        592927.85081488092     
   422547.32218198839       -1034984.0770967318        1591894.7924200434       -1849192.1967605487        1666449.8172634963       -1183778.9976459912        639723.14926332654     
   522316.93618887797       -1127869.2595129372        1666449.8172020335       -1900472.5944226554        1699940.8929547525       -1210211.8394845137        667258.04572314071     
   592927.85066417360       -1183778.9975422875        1699940.8929070327       -1912477.6802218370        1701308.0218307027       -1213492.0195697846        679403.79410997394     
   639723.14911843475       -1210211.8393856054        1701308.0217760541       -1894170.1802343165        1678028.5378493248       -1198918.9309645051        679435.39745884272     
   667258.04558771057       -1213492.0194669876        1678028.5377933478       -1853002.4127203724        1636304.0485047521       -1170899.1007011905        670106.98339639255     
   679403.79397328431       -1198918.9308656671        1636304.0484579364       -1795112.5904759401        1581228.6853632443       -1133063.8722740740        653717.68658872752     
   679435.39733207668       -1170899.1006184756        1581228.6853227788       -1725502.5031994276        1516941.0871225244       -1088374.9787946430        632170.05864728277     
   670106.98329505976       -1133063.8722077454        1516941.0870920869       -1648198.3985074142        1446761.6551201628       -1039219.4673307561        607022.39165963978     
   653717.68651280564       -1088374.9787459774        1446761.6550966089       -1566396.1891663589        1373316.0759148807       -987494.95166617690        579535.87180263537     
   632170.05860415963       -1039219.4673024896        1373316.0759027775       -1482591.7389415596        1298645.8123136319       -934685.87385868083        550717.14934632578     
   607022.39164562966       -987494.95166475233        1298645.8123234950       -1398696.8280567781        1224306.1475505261       -881931.29528661002        521356.69458032981     
   579535.87180944276       -934685.87387876143        1224306.1475640563       -1316141.3923599664        1151452.3632922657       -830084.67259897385        492063.18260971888     
   550717.14936074323       -881931.29529779428        1151452.3632925770       -1235962.7059236446        1080914.6917727075       -779766.07071711600        463294.08758484508     
   521356.69458567246       -830084.67259456892        1080914.6917663030       -1158882.2879923896        1013262.7684709266       -731407.29312628577        435382.65111652925     
   492063.18260857812       -779766.07071199315        1013262.7684703575       -1085371.4289188860        948860.39653751708       -685290.45158062538        408561.39980029524     
   463294.08758836170       -731407.29313617572        948860.39655073709       -1015706.3228785606        887911.50245632150       -641580.53592628962        382982.41272912460     
   435382.65112547326       -685290.45159722364        887911.50246420526       -950013.85725083144        830498.20312520198       -600352.57367582677        358734.56874367828     
   408561.39981292054       -641580.53593258606        830498.20312400395       -888309.13347121770        776611.91685157816       -561613.98199109698        335858.02948509954     
   382982.41273479915       -600352.57367430069        776611.91685051238       -830525.78507141175        726178.43426600005       -525322.71091938147        314356.23273403681     
   358734.56874188886       -561613.98199172353        726178.43426958402       -776540.11812095239        679077.82409290550       -491401.75713715336        294205.67990939436     
   335858.02947785606       -525322.71091728006        679077.82408976066       -726190.03387700452        635159.98832725151       -459750.59444099449        275363.80165715242     
   314356.23271988420       -491401.75712287432        635159.98831667041       -679289.61102497717        594256.60789103538       -430254.02459593385        257775.17624773970     
   294205.67988972296       -459750.59442340187        594256.60788232309       -635640.13161535957        556190.13853174145       -402788.90201249113        241376.35929907640     
   275363.80163709115       -430254.02458261093        556190.13852627098       -595038.23745816166        520780.43250331475       -377229.13271798746        226099.56194726672     
   257775.17623418616       -402788.90200416121        520780.43249845540       -557281.80648178339        487849.47872168716       -353449.29433244804        211875.38960518077     
   241376.35929398434       -377229.13271290733        487849.47871874052       -522174.04613393149        457224.67565619195       -331327.17160061997        198634.82723913665     
   226099.56194727137       -353449.29433118360        457224.67565545818       -489526.21564478509        428740.97920208011       -310745.45351701498        186310.63030195521     
