#     'r'     'cord11(r)'     'cord12(r)'     'cord22(r)'     cord21(r)
    3.1524      6.055317     2.027713      3.209918     4.055425
     3.162       6.05539     2.027713      3.226342     4.055425
    3.1716      6.055453     2.027713       3.24015     4.055425
    3.1812      6.055495     2.027713       3.25986     4.055425
    3.1908      6.055505     2.027713      3.290733     4.055425
    3.2004      6.055516     2.027713      3.335856     4.055425
      3.21      6.055516     2.027713      3.395274     4.055425
    3.2196      6.055516     2.027713       3.46148     4.055425
    3.2292      6.055767     2.027713      3.524112     4.055425
    3.2388      6.056886     2.027713      3.584277     4.055425
    3.2484      6.059618     2.027713      3.645284     4.055425
     3.258      6.063129     2.027713      3.705995     4.055425
    3.2676      6.071653     2.027713      3.764406     4.055425
    3.2772      6.087417     2.027713       3.81595     4.055425
    3.2868      6.115728     2.027713      3.858147     4.055425
    3.2964      6.158246     2.027713       3.89012     4.055425
     3.306      6.210364     2.027713      3.912344     4.055425
    3.3156      6.273955     2.027713      3.928485     4.055425
    3.3252      6.349246     2.027713      3.941584     4.055425
    3.3348      6.446635     2.027713      3.953423     4.055425
    3.3444      6.559679     2.027713      3.964698     4.055425
     3.354      6.677744     2.027713      3.974694     4.055425
    3.3636       6.81717     2.027713      3.982514     4.055425
    3.3732      6.985746     2.027713      3.988236     4.055425
    3.3828      7.172028     2.027713      3.992491     4.055425
    3.3924       7.36178     2.027713      3.995029     4.055425
     3.402      7.551658     2.027713      3.996538     4.055425
    3.4116      7.749521     2.027713      3.997774     4.055425
    3.4211      7.936764      2.02788      3.998759      4.05576
    3.4307      8.089801     2.029427      4.000099     4.058854
    3.4403      8.212135     2.034052      4.002318     4.068103
    3.4499      8.301559      2.04474      4.005397      4.08948
    3.4595      8.363916     2.063641      4.009188     4.127281
    3.4691       8.41409     2.093568      4.013377     4.187136
    3.4787      8.451486      2.14092      4.017045      4.28184
    3.4883      8.476624     2.212792      4.019916     4.425583
    3.4979      8.501741     2.316546      4.022346     4.633091
    3.5075      8.540227     2.456588      4.024044     4.913176
    3.5171      8.594527      2.63099      4.025197      5.26198
    3.5267      8.666115     2.822188      4.026286     5.644375
    3.5363      8.765097     3.000399      4.027354     6.000798
    3.5459      8.909977       3.1529      4.028276     6.305801
    3.5555       9.10021     3.286781      4.029177     6.573562
    3.5651      9.330465      3.39954       4.03014      6.79908
    3.5747      9.598522     3.486834      4.030936     6.973669
    3.5843      9.874637     3.567404      4.031628     7.134808
    3.5939      10.14447     3.660436      4.032152     7.320872
    3.6035      10.40069     3.762387      4.032445     7.524774
    3.6131      10.62152     3.863663      4.032592     7.727326
    3.6227      10.79927     3.966532      4.032655     7.933064
    3.6323      10.93195     4.076607      4.032718     8.153214
    3.6419      11.02501      4.18502      4.032739     8.370041
    3.6515      11.09011     4.281146       4.03278     8.562293
    3.6611      11.13462     4.357612      4.032843     8.715224
    3.6707       11.1668     4.412509      4.032864     8.825018
    3.6803      11.19197     4.454792      4.032864     8.909584
    3.6898      11.21633     4.490531      4.032864     8.981061
    3.6994       11.2444     4.521692      4.032864     9.043385
     3.709      11.27612      4.54925      4.032864       9.0985
    3.7186      11.31208     4.574507      4.032864     9.149015
    3.7282      11.35264     4.598475      4.032864     9.196951
    3.7378      11.39629     4.620817      4.032864     9.241634
