#     'r'     'g11(r)'     'g12(r)'     'g22(r)'
    3.0661      0.219838            0      16.06353
    3.0757     0.1805858            0      14.91857
    3.0853     0.1692299            0      11.10295
    3.0949     0.1558317            0      6.714258
    3.1045     0.1263507            0      3.389204
    3.1141     0.1065578            0      1.242105
    3.1237    0.09199745            0     0.7858411
    3.1333    0.08966279            0     0.5950065
    3.1428    0.07608328            0     0.2540528
    3.1524    0.08122231            0    0.05891862
     3.162      0.067855            0    0.02091484
    3.1716    0.06329454            0    0.03603333
    3.1812    0.06188189            0    0.05234685
    3.1908    0.05570092            0    0.09447999
    3.2004    0.04144062            0     0.1333854
      3.21    0.04220616            0     0.2313545
    3.2196    0.04128366            0     0.2568753
    3.2292    0.04671066            0     0.3128382
    3.2388    0.04212251            0     0.4518616
    3.2484    0.04121457            0     0.5813121
     3.258    0.05113322            0     0.5936534
    3.2676    0.08439635            0     0.7781908
    3.2772     0.2105669            0     0.8346485
    3.2868     0.4434768            0     0.8775297
    3.2964     0.6938467            0     0.9776323
     3.306      1.000834            0      1.026813
    3.3156      1.345722            0      1.086823
    3.3252      1.855279            0      1.091907
    3.3348      1.902495            0      1.116972
    3.3444      1.700287            0      1.126774
     3.354      1.772842            0      1.104225
    3.3636      1.834086            0     0.9710112
    3.3732      2.312606            0     0.9495659
    3.3828      3.028606            0     0.9819534
    3.3924      3.465896            0     0.9279488
     3.402      3.361292            0     0.7841923
    3.4116      3.354665            0     0.7438519
    3.4211      2.601932            0      0.672982
    3.4307      1.621372            0     0.6182904
    3.4403        1.0697  0.007042655     0.4841028
    3.4499     0.6533379   0.09104588     0.5001545
    3.4595      0.373261    0.2170674     0.3843948
    3.4691     0.2312765    0.5584289     0.3544695
    3.4787     0.1069511     1.272861     0.3317803
    3.4883    0.09149541      2.33108     0.2864213
    3.4979     0.1549743     3.565033     0.2529484
    3.5075     0.2265249     5.354604      0.193774
    3.5171     0.3948911     6.060769     0.1848289
    3.5267     0.6411477     6.146789     0.1378683
    3.5363      1.299272     5.333597     0.1293174
    3.5459      1.959957     4.070285     0.1341623
    3.5555      2.708451     2.752653     0.1047662
    3.5651      3.429159     1.753003    0.09213736
    3.5747      4.255637     1.388631    0.08727936
    3.5843      4.577089     1.403914    0.06293915
    3.5939      4.151581     1.651618      0.058286
    3.6035      3.162501     2.262306     0.0483133
    3.6131      2.107632     2.875537    0.04912493
    3.6227       1.13122     3.212834    0.06479926
    3.6323     0.7613304     3.330665    0.05494722
    3.6419     0.4113208     2.665801    0.05886248
    3.6515     0.2317191     1.749203    0.03555034
    3.6611     0.1881946     1.075641     0.0436852
    3.6707     0.1807563     0.566847    0.02483262
    3.6803     0.1864937     0.380802    0.02779119
    3.6898     0.1998353    0.2880082    0.03686243
    3.6994     0.2168495     0.200485    0.04278334
     3.709     0.2172463    0.2143444    0.04154885
    3.7186     0.2342418    0.2044488    0.03931835
    3.7282     0.2422989    0.2716133    0.03610726
    3.7378     0.2629706    0.2799155    0.02694157
    3.7474     0.2648462    0.2685909    0.01886191
     3.757     0.3098346    0.2832144    0.01975334
    3.7666     0.3340073    0.3067435    0.01867018
    3.7762     0.3835494    0.3271072    0.02444132
    3.7858     0.4061254    0.3455645    0.02237216
    3.7954     0.4306422    0.3320049    0.02129138
     3.805     0.4640386    0.3634376    0.02022121
    3.8146     0.4609894    0.3470513    0.01820344
    3.8242     0.4465456    0.3757105   0.007626187
    3.8338     0.4547283    0.4964735    0.01422761
    3.8434     0.4748361    0.7566317    0.01132532
     3.853     0.4391943     1.071514   0.008451729
    3.8626     0.4493742      1.63887   0.004672103
    3.8722     0.4206965     2.056282    0.01115754
    3.8818     0.3932202     2.361909    0.01480325
    3.8914     0.3717534     3.126207    0.01473033
     3.901     0.3623818     3.095096   0.004580607
    3.9106     0.3535526      2.49828   0.005469784
    3.9202     0.3169583     1.797424   0.002721518
    3.9298     0.2962621     1.520796   0.002708243
    3.9394     0.2905607     1.271458   0.005390128
     3.949     0.2820107     1.378429    0.00715195
    3.9585     0.2715418     1.695575             0
    3.9681     0.2545421     1.859431   0.001770733
    3.9777     0.2546348     2.440074   0.004405499
    3.9873     0.2332778     2.994359  0.0008768637
    3.9969     0.2312878     2.554315   0.003490633
    4.0065     0.2180435     2.571303   0.003473931
    4.0161     0.2709299     1.899892  0.0008643373
    4.0257     0.3209486      1.11912   0.002580664
    4.0353     0.4931307    0.6784772  0.0008561348
    4.0449     0.7653233    0.5037397             0
    4.0545      1.052714    0.5393876  0.0008480486
    4.0641      1.818921    0.7374499             0
    4.0737      2.286904     0.996429             0
    4.0833      2.249667     1.550848   0.001672265
    4.0929      2.138399     2.020032             0
    4.1025      1.726539     2.427033             0
    4.1121      1.537423     2.558677             0
    4.1217     0.9644075     2.377495             0
    4.1313     0.6201134     1.894147             0
    4.1409     0.6217065     1.673708             0
    4.1505     0.8559472     2.080103  0.0008092859
    4.1601      1.197991     3.045268             0
    4.1697      1.625531     4.353525  0.0008018527
    4.1793      1.904718     5.382095             0
    4.1889       2.15615     6.527886             0
    4.1985      2.027877     6.394634             0
    4.2081      1.705449     5.514258             0
    4.2177      1.383193     4.182205             0
    4.2273     0.9468271     3.170047             0
    4.2368     0.5419185     2.039501             0
    4.2464     0.3364947     1.212668             0
     4.256     0.2043679    0.7431905             0
    4.2656     0.1738115    0.6547179    0.02911483
    4.2752     0.1302024     0.596675    0.08237635
