#     'r'     'cord11(r)'     'cord12(r)'     'cord22(r)'     cord21(r)
    3.9777      12.09912     5.954368       4.03289     11.90874
    3.9873      12.09965     6.124239       4.03289     12.24848
    3.9969          12.1     6.336063       4.03289     12.67213
    4.0065      12.10018     6.492928       4.03289     12.98586
    4.0161      12.10027     6.575535       4.03289     13.15107
    4.0257      12.10039     6.614497       4.03289     13.22899
    4.0353       12.1015     6.633979       4.03289     13.26796
    4.0449      12.10748     6.645945       4.03289     13.29189
    4.0545      12.13202     6.657503       4.03289     13.31501
    4.0641      12.20377     6.670798       4.03289      13.3416
    4.0737      12.36926     6.690304       4.03289     13.38061
    4.0833      12.67256     6.730112       4.03289     13.46022
    4.0929      13.06164     6.814146       4.03289     13.62829
    4.1025      13.37309     6.969366       4.03289     13.93873
    4.1121      13.53548     7.181231       4.03289     14.36246
    4.1217      13.60251     7.378999       4.03289       14.758
    4.1313      13.62552     7.509516       4.03289     15.01903
    4.1409      13.63554     7.581954       4.03289     15.16391
    4.1505      13.64679     7.630579       4.03289     15.26116
    4.1601       13.6767     7.691644       4.03289     15.38329
    4.1697      13.75553     7.824326       4.03289     15.64865
    4.1793      13.94317     8.102112       4.03289     16.20422
    4.1889      14.28437     8.565786       4.03289     17.13157
    4.1985      14.68769     9.111277       4.03289     18.22255
    4.2081      14.98852     9.547908       4.03289     19.09582
    4.2177      15.15405      9.80341       4.03289     19.60682
    4.2273      15.23556     9.926093       4.03289     19.85219
    4.2368      15.26876     9.983566       4.03289     19.96713
    4.2464      15.28195     10.01446       4.03289     20.02893
     4.256      15.28657      10.0371       4.03289      20.0742
    4.2656      15.28943     10.05946       4.03289     20.11892
    4.2752      15.29349     10.08366       4.03289     20.16732
    4.2848       15.3023     10.11112       4.03289     20.22224
    4.2944      15.32192     10.13788       4.03289     20.27576
     4.304       15.3617     10.16022       4.03289     20.32045
    4.3136      15.42474      10.1812      4.033892      20.3624
    4.3232        15.501     10.20718      4.041309     20.41435
    4.3328       15.5785     10.24568      4.072531     20.49136
    4.3424      15.64678     10.30344      4.161128     20.60689
     4.352      15.70288     10.38025      4.402169      20.7605
    4.3616      15.75024     10.47207      4.933073     20.94414
    4.3712      15.79101     10.58821      5.776223     21.17641
    4.3808      15.82994     10.75523      6.720723     21.51047
    4.3904      15.86801     10.97604      7.505108     21.95208
       4.4      15.90275     11.18983      8.025571     22.37965
    4.4096      15.93216     11.33571        8.2934     22.67142
    4.4192      15.95456     11.41965      8.398147      22.8393
    4.4288      15.97014     11.47793      8.436037     22.95587
    4.4384      15.98115     11.53371      8.453952     23.06743
     4.448      15.99075     11.59038      8.474301     23.18076
    4.4576      16.00055     11.64333      8.502457     23.28666
    4.4672      16.01269     11.69095      8.529645      23.3819
    4.4768       16.0292      11.7417      8.550551      23.4834
    4.4864      16.05703     11.81468      8.571219     23.62936
     4.496      16.11712     11.93655      8.605716     23.87311
    4.5055      16.23167     12.12281      8.667968     24.24562
    4.5151      16.44151     12.32137      8.751519     24.64273
    4.5247      16.78258     12.45608      8.839269     24.91216
    4.5343      17.14869     12.52294       8.91816     25.04588
    4.5439      17.38733     12.55344      8.984534     25.10688
    4.5535      17.48929     12.56564      9.041574     25.13128
    4.5631      17.52633      12.5699      9.096488      25.1398
    4.5727      17.54257     12.57187      9.163623     25.14373
    4.5823      17.55134     12.57371        9.2546     25.14743
    4.5919      17.56309     12.57626       9.37125     25.15252
    4.6015      17.57965     12.58204      9.501769     25.16409
    4.6111      17.59672     12.59624      9.625175     25.19248
    4.6207      17.61109     12.63026      9.720631     25.26053
    4.6303      17.62258     12.70854      9.781123     25.41707
    4.6399      17.63625     12.86877      9.816705     25.73754
    4.6495      17.65933     13.09758      9.838889     26.19516
    4.6591      17.69513     13.31874      9.856775     26.63748
    4.6687      17.74061     13.48341      9.876749     26.96682
    4.6783       17.7898     13.59449      9.902262     27.18899
    4.6879       17.8572     13.67256       9.93111     27.34512
    4.6975      17.97181     13.72894      9.957681     27.45788
    4.7071       18.1443     13.76768      9.980214     27.53536
    4.7167      18.36083     13.79348      9.999378     27.58697
    4.7263      18.56175     13.81025      10.01543     27.62049
    4.7359      18.74935     13.82171      10.02829     27.64342
    4.7455      19.03297      13.8316      10.03919     27.66319
    4.7551      19.41603     13.84161      10.04892     27.68321
    4.7647        19.756     13.85119      10.05662     27.70239
    4.7743      19.96807     13.85913      10.06231     27.71827
    4.7838      20.07852      13.8652       10.0662      27.7304
    4.7934      20.13458     13.87024      10.06844     27.74047
     4.803      20.16928     13.87529       10.0698     27.75058
    4.8126      20.19592      13.8815      10.07275     27.76301
    4.8222      20.21889     13.89001      10.08963     27.78003
    4.8318      20.24055     13.90176      10.14404     27.80353
    4.8414      20.26299     13.91662      10.27976     27.83325
     4.851      20.28825     13.93383      10.53692     27.86766
    4.8606      20.31873     13.95288      10.87226     27.90575
    4.8702      20.36313     13.97365      11.16886      27.9473
    4.8798      20.44783     13.99569      11.38299     27.99139
    4.8894      20.63967     14.01646      11.61441     28.03291
     4.899      21.08859     14.03275      12.03908     28.06551
    4.9086       21.9736     14.04382      12.87674     28.08765
    4.9182      23.15776      14.0508      14.00656      28.1016
    4.9278      24.14462     14.05607      14.94519     28.11213
    4.9374      24.75838      14.0621      15.48685     28.12421
     4.947      25.18589     14.07266      15.75419     28.14532
    4.9566      25.59737     14.09944      15.88244     28.19888
    4.9662      26.07494      14.1628      15.94274     28.32559
    4.9758      26.48551     14.28273       15.9746     28.56546
    4.9854      26.73802     14.46555      15.99486      28.9311
     4.995      26.91838      14.6543      16.00983      29.3086
    5.0046      27.11278     14.77327      16.02892     29.54654
    5.0142       27.3532     14.82435      16.06518      29.6487
    5.0238      27.57594     14.84372      16.12841     29.68744
    5.0334      27.73294     14.85075      16.22345     29.70149
     5.043      27.85872     14.85574      16.34178     29.71147
    5.0525      27.96762     14.86577      16.46789     29.73154
    5.0621      28.04842     14.88633      16.58155     29.77266
    5.0717      28.09986     14.92531      16.66392     29.85062
    5.0813      28.13436     14.99742      16.71495     29.99484
    5.0909      28.16705     15.12298      16.74251     30.24596
    5.1005      28.20841     15.28938      16.75604     30.57876
    5.1101      28.27786     15.44403      16.76704     30.88805
    5.1197      28.42654     15.54272      16.78564     31.08544
    5.1293      28.71423     15.58577      16.81983     31.17154
    5.1389      29.14568     15.60336      16.87992     31.20671
    5.1485      29.61873      15.6145      16.97497       31.229
    5.1581       30.0229     15.62455      17.10386      31.2491
    5.1677      30.38211     15.63619       17.2528     31.27237
    5.1773      30.80555      15.6492      17.40871     31.29841
    5.1869      31.34348     15.65988      17.56061     31.31976
    5.1965      31.88905     15.66727      17.69594     31.33453
    5.2061      32.34229     15.67694      17.80882     31.35388
    5.2157      32.76126     15.70405      17.89735     31.40809
    5.2253       33.2248     15.77647         17.96     31.55293
    5.2349      33.66807     15.92144      17.99825     31.84289
    5.2445      33.98684     16.13239      18.01911     32.26479
    5.2541      34.16994     16.34013      18.02978     32.68026
    5.2637      34.25573     16.48397      18.03536     32.96795
    5.2733      34.29488     16.56816      18.03961     33.13631
    5.2829      34.31979     16.61503      18.04435     33.23006
    5.2925      34.35227     16.64121      18.05079     33.28243
    5.3021      34.40635     16.66022      18.05928     33.32043
    5.3117      34.48614     16.68103         18.07     33.36206
    5.3213      34.58441     16.70542      18.08111     33.41085
    5.3308      34.68858     16.73272        18.091     33.46545
    5.3404      34.79092     16.75953       18.1018     33.51906
      5.35      34.88636     16.78164      18.12309     33.56328
    5.3596       34.9742     16.79753      18.17873     33.59505
    5.3692      35.06777     16.80805      18.32423     33.61609
    5.3788      35.19814     16.81629      18.62819     33.63257
    5.3884      35.42167     16.82543      19.09717     33.65086
     5.398        35.811     16.83679      19.64043     33.67358
    5.4076      36.33202     16.84957      20.17724     33.69913
    5.4172      36.80619     16.86188      20.59638     33.72375
    5.4268      37.11959     16.87184      20.82268     33.74368
    5.4364      37.29857     16.87948      20.92025     33.75897
     5.446      37.39705     16.88756      20.95459     33.77513
    5.4556      37.45592     16.89966      20.96401     33.79933
    5.4652       37.4986     16.91835      20.96608      33.8367
    5.4748      37.53122     16.94255      20.96735     33.88511
    5.4844      37.56315     16.96872      20.97049     33.93743
     5.494      37.61967     16.99302       20.9801     33.98604
    5.5036      37.74291      17.0127      20.99924      34.0254
    5.5132      37.99115     17.02763      21.02777     34.05525
    5.5228      38.34612     17.03978      21.06362     34.07956
    5.5324      38.67579     17.05132      21.10494     34.10264
     5.542      38.92347     17.06345      21.15381      34.1269
    5.5516      39.17942     17.07552      21.21092     34.15104
    5.5612       39.5865     17.08632      21.27169     34.17264
    5.5708      40.18715     17.09539      21.33363     34.19078
